-151; -151; 203; -151; -4926; -151;
-159; -159; 203; -159; -4926; -159;
0; 0; 199; 0; -4926; 0;
196; 187; 201; 181; -4926; 181;
93; 93; 204; 93; -4926; 93;
0; 0; 201; 0; -4926; 0;
-114; -114; 202; -114; -4926; -114;
-91; -91; 198; -91; -4926; -91;
4; 2; 190; 1; -4926; 1;
0; 0; 190; 0; -4926; 0;
159; 159; 179; 159; -4926; 159;
122; 122; 182; 122; -4926; 122;
-99; -99; 181; -99; -4926; -99;
-107; -107; 187; -107; -4926; -107;
0; -1; 190; -2; -4926; -2;
88; 88; 188; 88; -4926; 88;
67; 67; 195; 67; -4926; 67;
-157; -157; 198; -157; -4926; -157;
-61; -61; 195; -61; -4926; -61;
5; 1; 187; -1; -4926; -1;
